sch_no,time_as,time_pe,gender,income,d_edu1,m_edu1,w_1,w_2,Y
111307,0,12,1,8,1,1,4.68,34.55605263,3
111307,0,12,1,8,1,1,4.68,34.55605263,3
111307,4,0,1,4,1,1,4.68,34.55605263,1
111307,0,10,1,8,1,1,4.68,34.55605263,3
111307,0,16,1,5,1,1,4.68,34.55605263,2
111307,2,0,1,8,1,1,4.68,34.55605263,3
111307,0,18,1,7,1,1,4.68,34.55605263,3
111307,0,12,1,8,1,1,4.68,34.55605263,3
111307,0,5,1,8,1,1,4.68,34.55605263,2
111307,0,8,1,8,1,1,4.68,34.55605263,3
111307,0,9,1,8,1,0,4.68,34.55605263,3
111307,3,6,1,4,1,1,4.68,34.55605263,1
111307,0,0,1,6,1,1,4.68,34.55605263,1
111307,6,10,1,6,1,1,4.68,34.55605263,2
111307,0,12,1,1,1,1,4.68,34.55605263,1
111307,0,15,1,8,1,1,4.68,34.55605263,1
111307,2,1,1,5,1,1,4.68,34.55605263,2
111307,0,12,1,6,1,1,4.68,34.55605263,1
111307,0,24,1,8,1,1,4.68,34.55605263,2
111307,6,0,1,7,1,1,4.68,34.55605263,1
111307,0,18,1,8,1,1,4.68,34.55605263,2
111307,0,8,1,7,1,1,4.68,34.55605263,1
111307,0,13,1,6,1,0,4.68,34.55605263,2
111307,0,24,1,8,1,1,4.68,34.55605263,3
111307,0,12,1,8,1,1,4.68,34.55605263,3
111307,0,22,1,8,1,1,4.68,34.55605263,1
111307,0,14,1,8,1,1,4.68,34.55605263,2
111307,4,6,1,6,1,1,4.68,34.55605263,1
111307,2,3,1,8,1,1,4.68,34.55605263,1
111307,0,11,1,6,1,1,4.68,34.55605263,1
111307,0,7,1,8,1,1,4.68,34.55605263,2
111307,0,8,1,8,1,1,4.68,34.55605263,3
111307,0,15,1,8,1,1,4.68,34.55605263,2
111307,0,12,1,8,1,1,4.68,34.55605263,2
111307,0,0,1,5,1,1,4.68,34.55605263,2
111307,0,10,1,6,1,1,4.68,34.55605263,1
111307,0,3,1,8,1,1,4.68,34.55605263,3
111307,0,0,1,4,1,1,4.68,34.55605263,2
111309,1,4,1,5,1,1,4.68,35.49,1
111309,1,8,1,3,1,1,4.68,35.49,2
111309,3,0,1,3,0,0,4.68,35.49,1
111309,2,8,1,6,0,0,4.68,35.49,1
111309,1,9,1,1,1,0,4.68,35.49,2
111309,10,10,1,8,1,1,4.68,35.49,3
111309,0,11,1,4,1,0,4.68,35.49,3
111309,13,5,1,6,1,1,4.68,35.49,2
111309,1,4,1,8,1,1,4.68,35.49,3
111309,8,6,1,3,1,0,4.68,35.49,2
111309,1,16,1,4,1,1,4.68,35.49,1
111309,2,11,1,8,1,1,4.68,35.49,3
111309,10,24,1,3,0,0,4.68,35.49,1
111309,0,3,1,6,1,1,4.68,35.49,2
111309,1,17,1,4,1,0,4.68,35.49,2
111309,3,7,1,8,1,1,4.68,35.49,2
111309,1,3,1,6,1,1,4.68,35.49,2
