sch_no,time_as,time_pe,gender,income,d_edu1,m_edu1,w_1,w_2,Y
111201,3,16,0,8,1,1,4.68,38.62147059,1
111201,0,17,0,8,1,1,4.68,38.62147059,3
111201,2,10,0,8,1,1,4.68,38.62147059,3
111201,0,8,0,2,0,0,4.68,38.62147059,3
111201,0,0,0,4,1,0,4.68,38.62147059,1
111201,6,8,0,5,0,0,4.68,38.62147059,2
111201,4,4,1,4,1,1,4.68,38.62147059,2
111201,4,9,0,6,1,1,4.68,38.62147059,2
111201,0,4,0,5,1,1,4.68,38.62147059,2
111201,0,3,1,4,1,1,4.68,38.62147059,1
111201,0,0,0,8,1,1,4.68,38.62147059,1
111201,8,0,0,3,0,1,4.68,38.62147059,1
111201,0,15,0,7,1,0,4.68,38.62147059,2
111201,3,8,0,8,1,1,4.68,38.62147059,3
111201,5,10,0,8,1,1,4.68,38.62147059,3
111201,5,6,1,8,0,1,4.68,38.62147059,2
111201,8,0,0,1,1,1,4.68,38.62147059,2
111201,2,7,0,8,1,1,4.68,38.62147059,3
111201,0,9,1,5,1,1,4.68,38.62147059,1
111201,2,9,0,6,1,0,4.68,38.62147059,3
111201,0,10,0,4,1,1,4.68,38.62147059,2
111201,0,10,0,4,1,1,4.68,38.62147059,2
111201,0,8,1,7,1,1,4.68,38.62147059,2
111201,0,12,0,8,1,1,4.68,38.62147059,3
111201,0,0,0,4,1,1,4.68,38.62147059,1
111201,0,15,0,3,1,1,4.68,38.62147059,1
111201,8,0,0,4,1,1,4.68,38.62147059,1
111201,0,0,0,4,0,0,4.68,38.62147059,1
111201,0,2,1,6,1,1,4.68,38.62147059,2
111201,5,5,1,8,1,1,4.68,38.62147059,3
111201,0,5,0,2,1,1,4.68,38.62147059,1
111201,0,12,0,6,0,0,4.68,38.62147059,3
111201,0,8,1,7,1,1,4.68,38.62147059,3
111201,0,0,0,3,1,0,4.68,38.62147059,2
111205,2,12,0,8,1,1,4.68,38.62147059,2
