"","TruePara","HT","GREG","Ridge","Lasso","SCAD","Ridge_MC","Lasso_MC","SCAD_MC","Lasso_Ridge","SCAD_Ridge"
"1",235062.535253937,228652.593255284,237601.786361487,230434.160642161,237564.102451148,237413.916559745,230982.403880546,237572.887767695,237413.953245709,237555.793816803,237411.520862861
"2",235710.263510246,233521.169693423,235601.904401356,235702.691962851,235762.988336775,235988.181668754,236166.887643389,235830.45788879,235988.302215196,235134.389309037,235986.46538798
"3",235478.638235642,240098.142502257,237958.089300367,239760.42161644,236943.009040286,237237.443470949,239688.066451629,236823.89305392,237236.876030597,237058.379181522,237233.614011364
"4",235418.156445723,230850.979586481,235050.010182689,235643.187759238,234792.785383851,234703.396918746,236633.62144863,234903.070067186,234702.476496203,233749.010417344,234704.585945357
"5",235195.298930595,236965.978115161,234984.427671703,235529.105820157,234744.964421054,235151.584659874,235306.466011846,234663.817687706,235151.277835786,234499.972159007,235147.878027362
"6",235222.133888682,238534.219016429,236081.241492086,235212.688688162,235401.003008381,235339.626771814,234655.99335716,235332.042411994,235341.674001793,235430.845149889,235589.069448243
"7",234594.045357644,238789.060468685,237284.761181561,239595.507335346,237277.155629037,236760.097243033,239717.834766646,237240.582577654,236760.493006304,236795.540574575,236759.588221519
"8",234915.681409086,236919.016698131,236511.206967535,238898.242707692,236393.747932138,235957.525547759,239408.179332851,236369.174069094,235957.379249005,236121.586637825,235956.497917391
"9",235466.539361619,237000.477479313,237557.084818144,236499.49200383,237104.637114182,237079.01671117,236415.968523228,237106.100886962,237078.992988959,236642.724631536,237152.290348977
"10",234921.870000985,236891.25561318,237202.827328875,234943.092247337,236595.105101279,236719.262447904,234829.019053016,236579.154701403,236719.287940112,236428.942199569,236604.401223055
