"","TruePara","HT","GREG","Ridge","Lasso","SCAD","Ridge_MC","Lasso_MC","SCAD_MC","Lasso_Ridge","SCAD_Ridge","Oracle"
"1",235062.535253937,228652.593255284,237601.786361487,230434.160642161,236798.912734213,237603.538901593,230982.403880546,236984.779165983,237604.821448784,236801.149275219,237470.327814863,236747.832752024
"2",235710.263510246,233521.169693423,235601.904401356,235702.691962851,235629.328907197,235558.853510393,236166.887643389,235662.971217387,235558.882540567,235626.897936031,235562.108597232,236021.920906126
"3",235478.638235642,240098.142502257,237958.089300367,239760.42161644,237180.83933581,237814.045752634,239688.066451629,237114.011782402,237814.22076577,237181.32103436,237256.960620057,236493.087273168
"4",235418.156445723,230850.979586481,235050.010182689,235643.187759238,234868.284591806,234923.703652266,236633.62144863,234966.781242458,234924.097994501,234868.742457578,234935.847689508,234994.97648218
"5",235195.298930595,236965.978115161,234984.427671703,235529.105820157,234762.125988767,235015.348312314,235306.466011846,234713.454329144,235015.145219933,234763.856533813,234783.825981579,234915.929719839
"6",235222.133888682,238534.219016429,236081.241492086,235212.688688162,235496.857762347,236049.749144151,234655.99335716,235439.634345377,236050.716919842,235495.624971867,235921.999452054,234882.116151073
"7",234594.045357644,238789.060468685,237284.761181561,239595.507335346,237279.69725869,237251.049291811,239717.834766646,237249.130772741,237251.26680418,237278.573899425,237247.951026367,236759.115421497
"8",234915.681409086,236919.016698131,236511.206967535,238898.242707692,236525.075653431,236480.545930036,239408.179332851,236518.235932931,236480.484493662,236527.34319448,236464.638463268,236032.348331215
"9",235466.539361619,237000.477479313,237557.084818144,236499.49200383,236966.88451763,237514.732984345,236415.968523228,236966.215458191,237514.013754373,236964.910503566,237348.694581364,236531.533098096
"10",234921.870000985,236891.25561318,237202.827328875,234943.092247337,236906.921402471,237227.432822855,234829.019053016,236907.287365739,237227.268251861,236906.356669621,236969.809057089,236488.74645399
"11",235499.999242551,235750.114672449,235795.19345708,232674.63899497,235528.623051328,235772.868392132,232228.411290979,235523.485440233,235772.873303188,235532.650510308,235575.087084558,236424.520912967
"12",234998.851184102,233391.856602775,235323.569427448,235565.017566611,235302.716676694,235519.672332623,236184.240339101,235341.708916876,235520.225033057,235302.228146078,235446.682786094,234642.877485235
"13",235202.304382543,239725.576535497,235099.904055263,234749.492668315,235637.01330203,235384.557449412,233544.159342981,235563.849053331,235385.031827397,235636.512199323,235595.910764013,235647.234856696
"14",234744.298542774,225831.22455559,236845.418633371,232911.889230949,236352.783576124,236921.881729457,235496.23130165,236757.678242305,236922.276962125,236356.551311914,236628.557746508,236165.379888519
"15",236002.9133473,234747.111167413,236829.198900116,236038.569718672,236465.202096213,236808.690962126,236173.185866733,236499.461072397,236808.518071382,236467.179096616,236767.302817803,236873.00341453
"16",234608.187168656,232979.234385137,234867.216243244,234759.733082486,234555.034674689,234840.349306012,235348.314616832,234580.947306782,234839.106222767,234555.726348763,234701.014170293,234350.242136319
"17",234825.220061284,235006.025696836,235435.441926545,237134.637130458,235034.319747849,235180.042342479,237847.330249489,235034.845169399,235180.007581947,235032.059423414,234988.955999926,234750.438371276
"18",234821.317983363,234162.619506577,235054.165016074,234790.809187547,234609.198359297,235158.360872166,234913.014037454,234615.923717679,235158.052902982,234603.953769495,234842.123504768,234315.897860609
"19",235354.305112011,232812.431898887,237491.080916278,233549.927904179,237304.39038532,237522.901329319,233648.376678634,237405.883016866,237525.380691203,237306.162897549,237431.216063316,236977.02223904
"20",234827.06251497,234137.833319073,236454.203973382,237835.364336052,236792.84830988,236496.645912914,238799.2200404,236836.006799296,236495.175820306,236797.062111049,236696.587362652,236388.080045396
"21",234986.022184006,240605.836865564,233761.760176372,236704.712226891,233888.20959462,233648.11921111,235368.424106026,233738.736211283,233648.776645539,233883.647312568,233836.24574557,233612.654290027
"22",234663.15980853,234514.143752094,235591.777218294,233382.224634441,234960.720359812,235585.488461045,233180.028691814,234970.537678142,235585.370190927,234958.641725584,235198.886336323,234624.990143895
"23",235371.53001947,228810.784480304,237628.696651862,231663.459580786,236882.497903119,237554.158830929,232794.689578899,237016.309210241,237555.404699297,236879.023089876,237356.338923663,236577.691556314
"24",234981.143373924,236835.926622409,233971.042838276,236767.853287514,233904.342622831,233841.871095323,236756.462828173,233851.500925671,233842.075011676,233907.545603407,233779.304063815,234013.628301024
"25",235565.358257136,239048.857116353,234659.476906568,235411.651739079,234857.834155059,234775.764301075,234374.4795281,234766.887165628,234776.193056838,234856.647236711,234893.919967306,235154.066095504
"26",235412.084267168,243149.814451988,236855.904650183,239416.379327967,236670.757189708,236972.448178331,238868.959547675,236523.658963013,236970.91784953,236668.974384806,236765.003313289,236184.146009889
