"","TruePara","HT","GREG","Ridge","Ridge_MC","Lasso","Lasso_MC","Lasso_Ridge","SCAD","SCAD_MC","SCAD_Ridge","Oracle"
"1",235062.535253937,235110.10163735,235626.464082798,235350.608575811,235408.13566702,235612.326185295,235710.044697909,235157.065827642,236019.61143408,236021.744983717,235198.908272041,235611.841871054
"2",235710.263510246,236063.332029277,236102.716769675,235773.069564228,235701.448440142,236197.570298225,236223.17162019,236073.194086024,236116.900841217,236117.047209843,236063.538813816,236073.662540955
"3",235478.638235642,235532.206645311,235535.73510634,235376.956666686,235343.781995442,235556.96703949,235561.529040631,235531.453468457,235562.947377933,235562.995929789,235531.006453878,235569.621730533
"4",235418.156445723,235433.792907,235292.757038048,236121.945159562,236265.560401518,235234.627629102,235194.993558425,235406.055275318,235388.0844144,235388.072823572,235420.11291683,235194.083468116
"5",235195.298930595,234727.153666314,234983.523466365,234923.419242812,234965.280267949,234969.912801906,235016.519339096,234744.88227754,234952.304389907,234953.390321693,234743.26866958,235003.269734584
"6",235222.133888682,233893.683140153,235288.746023522,235056.257312373,235355.062788418,234949.205924534,235149.376667306,233994.689209735,235193.785366075,235197.664950589,234019.936615045,235250.794589909
"7",234594.045357644,235039.075407569,234544.29986456,234114.261564442,233913.774940193,234549.857814223,234448.646946811,234982.325717915,234505.703716582,234504.445419011,234975.601467578,234488.091120469
"8",234915.681409086,234152.926201991,234892.87759443,234630.619878702,234753.900875033,234803.530075737,234927.800198948,234213.554400675,235226.83066885,235226.993813967,234258.344339946,234873.906248037
"9",235466.539361619,235972.238711519,235555.419636954,235810.61252802,235779.845187295,235659.647844357,235593.163265709,235934.354268944,235490.200311384,235488.309095966,235914.219416957,235583.719088628
"10",234921.870000985,236229.210117243,235273.079521973,235480.826976485,235286.177222329,235443.59822662,235290.507681012,236140.942678125,235431.190778903,235428.390084442,236137.901373079,235262.721839573
"11",235499.999242551,236418.785318531,235619.099595522,235367.27329511,235155.629852582,235652.913947561,235488.212937262,236331.756761504,235513.062434325,235508.527496263,236316.031916786,235507.395058637
"12",234998.851184102,235972.207825287,234937.870292561,235379.759507277,235238.641015611,235199.508616855,235035.095855979,235885.750701585,234970.778190262,234967.274158193,235858.990033794,234916.963944296
"13",235202.304382543,232752.700523869,235548.210765818,233686.622783183,233945.425362281,235003.07293626,235440.748196488,232979.094295614,235297.961779738,235305.713536843,233011.358735424,235474.672068076
"14",234744.298542774,236280.209994127,235377.885099458,236078.494888837,236032.11527475,235505.075956829,235344.772073932,236192.441747414,235535.612896067,235532.075463796,236193.843850762,235392.147141457
"15",236002.9133473,236712.820985984,236250.724734242,236973.17442923,237024.559603465,236181.665534918,236076.531508837,236649.72688719,236487.828589341,236487.59221318,236680.402071862,236128.197728848
"16",234608.187168656,232808.430324682,234794.37222199,233363.056893655,233472.167261813,234368.668421938,234701.485036262,232963.754823054,234783.42394491,234788.90777563,233007.517296082,234728.538417281
"17",234825.220061284,237052.726800208,235116.44478788,236098.087211991,235894.828739337,235321.837745426,234988.373078233,236856.998640624,234933.236911917,234927.593527358,236812.011435368,235170.56733405
"18",234821.317983363,231990.03148675,235134.100682166,233375.200652085,233719.836806566,234576.207187546,235085.621989926,232248.247868762,235286.059105196,235293.028344758,232323.087405473,234995.891190913
"19",235354.305112011,234146.498270408,235339.760704003,234952.949030482,235124.077822075,235046.66545715,235228.595580981,234236.805263025,235281.801022644,235284.326393918,234261.359315739,235307.064785275
"20",234827.06251497,235105.953782915,234952.17465636,235159.122020761,235170.097390121,235010.612593547,234990.897934888,235091.281953362,235118.326754028,235118.326853251,235101.474967762,234954.783134979
"21",234986.022184006,234977.315488444,234852.67446645,235511.028699485,235629.773378408,234956.225726661,234952.31666123,234971.458678104,234792.130125479,234792.143888997,234952.829149368,234792.107233276
"22",234663.15980853,234231.360195203,234788.554754236,233823.537943818,233735.060094483,234557.800114509,234619.228881403,234252.973601124,234373.629063827,234374.301627,234232.364005333,234735.222694652
"23",235371.53001947,236429.785510348,235554.123488293,236073.681949491,235986.23264151,235928.209863495,235834.226451773,236369.551435922,236024.70161189,236024.342379475,236378.57840972,235603.896731843
"24",234981.143373924,235137.457297712,234839.501847688,234507.065189937,234349.005281258,234800.012786369,234737.18803993,235098.5210108,234895.30597049,234894.861552514,235107.567024491,234693.537612713
"25",235565.358257136,234318.843505815,235256.154547632,235013.273614918,235178.64131259,234917.9898485,235033.81198141,234376.449865629,234832.844131404,234834.036547475,234367.629239962,235200.02928712
"26",235412.084267168,235137.563447551,235767.327604701,235254.923331768,235283.742343726,235631.262881455,235733.978959659,235186.076448957,235590.603783438,235592.449211865,235182.010462798,235680.086024425
"27",235104.294349191,236964.16072846,235514.85919495,235833.482305811,235570.444761305,235656.07487811,235406.028102673,236817.760343454,235610.31933988,235608.486365745,236809.896451051,235432.449302218
"28",234466.56308478,233206.36031585,234498.512328016,233361.309895147,233397.920925964,234254.242821534,234463.138037525,233309.71095979,234207.365282705,234208.924497383,233305.254140523,234404.901087094
"29",235374.852516683,235938.835570739,235498.783696069,235564.233688859,235479.927063159,235647.506153129,235588.766133363,235901.892921582,235677.316109987,235676.997713936,235904.716315509,235465.298541415
"30",234764.597919147,235403.171586665,234904.023096696,234990.835508005,234901.580021599,234966.303052068,234884.632207988,235346.751769276,235027.599353497,235026.861144451,235351.02579067,234942.737896582
"31",235200.911986005,234699.661658558,235220.138646291,235574.810489642,235753.010176692,235054.246743712,235128.171823747,234732.28357335,234827.09710063,234827.436986722,234708.469104503,235137.196451087
"32",235149.948036871,234821.913150909,235397.831608698,235981.510928805,236286.410788786,235234.933782609,235309.126184244,234857.266903327,234921.495290123,234921.684002,234824.182144354,235354.078894712
"33",234558.311882949,232436.139896846,234646.502961914,234034.763070003,234414.517243844,234260.602463957,234601.894930385,232621.915715573,234595.099079958,234598.324459688,232657.770259493,234591.259218731
"34",234798.629330307,233664.667080732,235190.348947651,233940.513686094,233998.32836788,234763.454957827,235004.726214075,233775.070927884,234812.573919441,234818.271160121,233781.797146393,235101.584260775
"35",235712.791590665,235018.360150368,236083.621697344,235568.652049032,235700.98585338,235908.772159704,236066.826133858,235108.923203228,236414.601881164,236415.522764841,235162.360882382,235964.170254476
"36",234792.37866629,235198.827397114,234974.420417454,234396.770677498,234225.200495359,234865.58130772,234792.401509064,235159.880855949,234889.905685994,234889.646344146,235161.255703993,234814.346261232
"37",234807.199112766,234747.017843071,234669.157036796,234575.181410856,234534.827911464,234680.457875384,234667.776241103,234734.126093692,234604.381359594,234604.140277976,234724.676391969,234663.819093327
"38",235066.459819676,234758.194539271,235129.463357569,234644.116337123,234616.190854109,235002.178397906,235049.870562886,234776.158523689,235152.08527417,235152.697462725,234790.206719085,234950.868244033
"39",235564.522250635,236123.374824083,235757.010317706,236017.340138105,235990.89737551,235870.315354902,235822.015604318,236093.42045838,235631.891981735,235630.824369079,236066.666971015,235690.407141139
"40",234842.93479943,234914.160008802,235078.336491953,234997.657769436,235019.260821985,234873.300115198,234865.978613969,234904.654127965,234856.717512282,234856.58174643,234902.541631791,234924.192773051
"41",235137.205035281,236374.034908228,235576.095202103,235824.229301369,235709.408426768,235727.111916965,235585.824561268,236301.482961778,235652.924449479,235650.334301932,236291.783627006,235513.472477621
"42",234680.467905931,235343.310440885,234777.462517492,234528.33505645,234368.90578998,234750.036824838,234627.123576682,235277.86894593,234834.375162463,234830.902098133,235285.968933497,234679.514195672
"43",234780.242420583,233890.419962222,234793.310222841,235097.338740975,235435.554970491,234493.63428567,234601.505709063,233946.170817761,234416.650850532,234417.458345366,233937.775404259,234773.993784833
"44",235541.214128371,234021.864496464,235470.195105842,234250.080724178,234305.164368483,235171.027979105,235395.832871493,234131.686598548,234968.094827982,234968.901899216,234109.699138322,235392.93462364
"45",235440.387946533,234587.686210575,235658.006186426,235590.368781182,235837.320637975,235481.876028856,235646.562789984,234678.973776325,235562.336197474,235562.588628607,234687.856396207,235597.387829395
"46",235652.494340583,236486.50765922,235541.489637882,235702.008054267,235484.420306389,235635.660231214,235476.270949355,236392.465053902,235584.724605211,235581.829146091,236384.978479145,235506.469746901
"47",234458.167890415,234824.569305495,234805.490742993,235501.54264957,235655.303649269,234707.746889349,234685.068938399,234801.044877181,234829.993673863,234830.014179831,234811.614823387,234701.255414516
"48",234322.597408292,236232.174208953,234543.186011065,234495.980943043,234049.682433863,234645.617676028,234354.912707726,236057.103496256,234640.416215359,234636.259663077,236053.530603722,234489.348921257
"49",234873.912926133,235252.201531314,234870.503778517,234276.82214905,234067.413740291,234905.410849357,234830.880106439,235210.695683164,234682.378331995,234681.265741616,235185.246114857,234805.16245197
"50",235194.148015581,233502.21916525,235298.553533565,234130.82382638,234274.407375564,234911.339970133,235201.698444862,233643.713770814,235291.245540418,235294.017272576,233683.186466315,235237.231921969
"51",235417.796984611,233093.020388385,235628.673246038,234639.133155659,235071.375542534,235156.627548358,235543.870154095,233301.604890613,235242.189244059,235252.305513378,233311.501749018,235560.099287123
"52",235779.026148136,236707.171475704,235572.152963214,235965.034089001,235797.535839077,235828.340158425,235643.538053197,236609.136270064,235659.589371062,235656.817390167,236589.050561237,235530.280065016
"53",234914.630988938,235386.302263489,235116.716746661,234780.858756095,234652.361515153,235013.908352279,234943.238189571,235342.066787245,234744.786220239,234744.829545502,235312.619561453,235029.126624297
"54",235436.422666186,235715.157773592,235637.899652719,235349.151713572,235276.612404339,235584.772458243,235558.092126976,235696.03602312,235526.765527057,235526.157361501,235688.602119207,235641.234335899
"55",235521.693193662,236156.458720881,235793.175386885,235139.633709597,234906.06030492,235850.693778204,235792.356478977,236119.904416403,235832.422432434,235831.477231111,236116.734601474,235778.850556596
"56",234744.380265677,232892.104971576,234942.046017635,233239.007582472,233329.883094477,234328.281830314,234588.41049513,233036.260660349,234312.827944916,234315.427608631,233035.405155746,234698.955435383
"57",234791.04690177,235189.074462032,234776.396962052,234328.45401628,234125.518503874,234883.141422695,234824.718475297,235151.118709007,234953.217635715,234953.110905674,235156.850919125,234703.959668208
"58",233935.851952692,233396.940476778,233990.892091286,234237.542162646,234426.502915502,233781.507503388,233859.572108666,233432.133443988,233701.585090049,233703.199550192,233423.806450663,233884.615057659
"59",234948.645415299,236507.376860349,235250.017381814,235873.202718895,235747.018627195,235428.028185018,235183.940798125,236387.315544593,235264.230699608,235260.552970207,236366.619044776,235157.250939549
"60",234774.860514617,236108.618996966,234906.512481564,235709.176169275,235611.791461585,235079.489104459,234889.308883262,235995.349840929,234833.65493816,234833.173842948,235968.121392318,234868.100878747
"61",233925.187429099,233560.350724973,234133.617205917,234067.434937768,234206.884038175,234120.770788747,234226.146535571,233614.266913149,234428.256224563,234430.051403376,233646.63001064,234143.292050545
