"","TruePara","HT","GREG","Ridge","Ridge_MC","Lasso","Lasso_MC","Lasso_Ridge","SCAD","SCAD_MC","SCAD_Ridge","Oracle"
"1",235062.535253937,237938.257853174,236049.162840355,236033.790490134,236008.346745747,236050.551921832,236049.414688224,236048.378341389,236051.41373598,236051.039563671,236048.911944055,236202.035007438
"2",235710.263510246,232795.600403472,236369.072455456,236545.924438312,236570.362485086,236371.044921815,236372.055312416,236371.297855793,236368.812481588,236368.226268525,236369.069275543,236472.767170909
"3",235478.638235642,233792.120521301,235043.413417678,235005.254212298,235018.449181965,235042.562806341,235043.013744843,235043.383933214,235042.582730445,235042.574745054,235043.413551086,234936.271748783
"4",235418.156445723,237218.978676868,235662.994853777,235783.099821984,235738.584797034,235666.027512171,235664.260382572,235665.449198341,235663.592313762,235663.433217894,235663.008248401,235289.777547916
"5",235195.298930595,231097.424296732,233578.685912442,233548.490480856,233605.465339152,233579.396354329,233584.245179648,233580.182692283,233577.370941439,233579.314666627,233578.143016215,233753.741348179
"6",235222.133888682,236000.80020365,235717.780357532,235617.777916134,235613.246807872,235718.20833263,235718.059326393,235717.38321542,235718.646035843,235718.598277199,235717.762850134,236001.964091142
"7",234594.045357644,233563.276525106,232658.159980822,232697.094813941,232677.836497638,232663.369358922,232662.839698984,232663.329446031,232659.160633763,232658.600605836,232657.472257222,233185.245752699
"8",234915.681409086,232737.034605479,233801.31156884,233827.537533984,233842.206936859,233801.904886815,233802.46990827,233804.602653711,233798.63051474,233798.801508661,233801.599375224,234029.535574517
"9",235466.539361619,234815.94684306,234809.451069697,234765.098746466,234763.886286142,234811.891768711,234811.886747892,234811.283531282,234810.244614005,234810.24425219,234808.476597698,234946.952013339
"10",234921.870000985,231312.202488825,234858.466010394,234775.839332099,234819.9474634,234849.353995125,234851.230060201,234849.878217529,234857.978075154,234858.33217805,234858.451939508,234236.140393456
"11",235499.999242551,232887.912297457,235340.163655013,235191.741428273,235215.302893387,235334.241775243,235335.607983422,235334.534654934,235339.862800496,235340.304182561,235340.16751787,235112.09433405
"12",234998.851184102,237087.515020945,235538.689002562,235544.901689334,235516.885736314,235536.498991501,235534.035373564,235537.659266855,235537.655953391,235536.211386546,235538.192816355,235208.753300159
"13",235202.304382543,234867.960318824,235532.427344019,235554.434957346,235566.38886945,235532.169267134,235532.589983635,235531.599098473,235533.045161795,235533.165013138,235532.938956519,235444.618329536
